2019-02-15 11:27:08,749 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:27:08,750 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-02-15 11:27:08,752 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:27:08,753 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\logonrmlocal\Desktop\digital\DIGITALBUSINESSENABLEMENT-\03-Loja-App\src\test\resources
2019-02-15 11:27:47,551 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:27:47,556 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-02-15 11:27:47,557 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:27:47,558 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\logonrmlocal\Desktop\digital\DIGITALBUSINESSENABLEMENT-\03-Loja-App\src\test\resources
2019-02-15 11:27:58,543 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:27:58,548 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-02-15 11:27:58,550 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
